Time period,Bus Contract Region,Card Type,Trip
7/1/16,Sydney Metro Contract 1,Adult,"390,433"
7/1/16,Sydney Metro Contract 1,Child/Youth,"62,800"
7/1/16,Sydney Metro Contract 1,Concession,"136,064"
7/1/16,Sydney Metro Contract 1,Free Opal,"1,149"
7/1/16,Sydney Metro Contract 1,School Opal,"138,642"
7/1/16,Sydney Metro Contract 1,Gold Opal,"206,110"
7/1/16,Sydney Metro Contract 2,Adult,"95,379"
7/1/16,Sydney Metro Contract 2,Child/Youth,"15,217"
7/1/16,Sydney Metro Contract 2,Concession,"37,534"
7/1/16,Sydney Metro Contract 2,Free Opal,663
7/1/16,Sydney Metro Contract 2,School Opal,"33,879"
7/1/16,Sydney Metro Contract 2,Gold Opal,"80,018"
7/1/16,Sydney Metro Contract 3,Adult,"358,199"
7/1/16,Sydney Metro Contract 3,Child/Youth,"48,558"
7/1/16,Sydney Metro Contract 3,Concession,"141,581"
7/1/16,Sydney Metro Contract 3,Other,1
7/1/16,Sydney Metro Contract 3,Free Opal,"1,299"
7/1/16,Sydney Metro Contract 3,School Opal,"69,157"
7/1/16,Sydney Metro Contract 3,Gold Opal,"242,938"
7/1/16,Sydney Metro Contract 4,Adult,"1,110,352"
7/1/16,Sydney Metro Contract 4,Child/Youth,"89,626"
7/1/16,Sydney Metro Contract 4,Concession,"143,585"
7/1/16,Sydney Metro Contract 4,Other,1
7/1/16,Sydney Metro Contract 4,Free Opal,"1,436"
7/1/16,Sydney Metro Contract 4,School Opal,"106,945"
7/1/16,Sydney Metro Contract 4,Gold Opal,"184,319"
7/1/16,Sydney Metro Contract 5,Adult,"101,718"
7/1/16,Sydney Metro Contract 5,Child/Youth,"16,248"
7/1/16,Sydney Metro Contract 5,Concession,"26,744"
7/1/16,Sydney Metro Contract 5,Free Opal,374
7/1/16,Sydney Metro Contract 5,School Opal,"18,869"
7/1/16,Sydney Metro Contract 5,Gold Opal,"97,341"
7/1/16,Sydney Metro Contract 6,Adult,"2,410,236"
7/1/16,Sydney Metro Contract 6,Child/Youth,"139,732"
7/1/16,Sydney Metro Contract 6,Concession,"262,299"
7/1/16,Sydney Metro Contract 6,Other,"19,783"
7/1/16,Sydney Metro Contract 6,Free Opal,"3,328"
7/1/16,Sydney Metro Contract 6,School Opal,"53,202"
7/1/16,Sydney Metro Contract 6,Gold Opal,"603,906"
7/1/16,Sydney Metro Contract 7,Adult,"1,615,630"
7/1/16,Sydney Metro Contract 7,Child/Youth,"128,451"
7/1/16,Sydney Metro Contract 7,Concession,"140,995"
7/1/16,Sydney Metro Contract 7,Other,"9,382"
7/1/16,Sydney Metro Contract 7,Free Opal,"2,229"
7/1/16,Sydney Metro Contract 7,School Opal,"93,651"
7/1/16,Sydney Metro Contract 7,Gold Opal,"337,392"
7/1/16,Sydney Metro Contract 8,Adult,"1,378,464"
7/1/16,Sydney Metro Contract 8,Child/Youth,"134,349"
7/1/16,Sydney Metro Contract 8,Concession,"105,937"
7/1/16,Sydney Metro Contract 8,Other,"10,210"
7/1/16,Sydney Metro Contract 8,Free Opal,"2,346"
7/1/16,Sydney Metro Contract 8,School Opal,"91,736"
7/1/16,Sydney Metro Contract 8,Gold Opal,"248,198"
7/1/16,Sydney Metro Contract 9,Adult,"4,376,415"
7/1/16,Sydney Metro Contract 9,Child/Youth,"208,559"
7/1/16,Sydney Metro Contract 9,Concession,"400,008"
7/1/16,Sydney Metro Contract 9,Other,"22,441"
7/1/16,Sydney Metro Contract 9,Free Opal,"4,861"
7/1/16,Sydney Metro Contract 9,School Opal,"55,279"
7/1/16,Sydney Metro Contract 9,Gold Opal,"795,776"
7/1/16,Sydney Metro Contract 10,Adult,"234,451"
7/1/16,Sydney Metro Contract 10,Child/Youth,"41,035"
7/1/16,Sydney Metro Contract 10,Concession,"52,410"
7/1/16,Sydney Metro Contract 10,Free Opal,966
7/1/16,Sydney Metro Contract 10,School Opal,"65,516"
7/1/16,Sydney Metro Contract 10,Gold Opal,"140,185"
7/1/16,Sydney Metro Contract 12,Adult,"83,809"
7/1/16,Sydney Metro Contract 12,Child/Youth,"25,578"
7/1/16,Sydney Metro Contract 12,Concession,"14,085"
7/1/16,Sydney Metro Contract 12,Free Opal,142
7/1/16,Sydney Metro Contract 12,School Opal,"56,735"
7/1/16,Sydney Metro Contract 12,Gold Opal,"32,213"
7/1/16,Sydney Metro Contract 13,Adult,"263,240"
7/1/16,Sydney Metro Contract 13,Child/Youth,"34,179"
7/1/16,Sydney Metro Contract 13,Concession,"76,144"
7/1/16,Sydney Metro Contract 13,Free Opal,686
7/1/16,Sydney Metro Contract 13,School Opal,"45,215"
7/1/16,Sydney Metro Contract 13,Gold Opal,"181,546"
7/1/16,Sydney Metro Contract 14,Adult,"200,819"
7/1/16,Sydney Metro Contract 14,Child/Youth,"38,057"
7/1/16,Sydney Metro Contract 14,Concession,"23,618"
7/1/16,Sydney Metro Contract 14,Free Opal,214
7/1/16,Sydney Metro Contract 14,School Opal,"34,611"
7/1/16,Sydney Metro Contract 14,Gold Opal,"42,259"
7/1/16,Sydney Metro Contract 15,Adult,"80,130"
7/1/16,Sydney Metro Contract 15,Child/Youth,"16,836"
7/1/16,Sydney Metro Contract 15,Concession,"43,454"
7/1/16,Sydney Metro Contract 15,Free Opal,685
7/1/16,Sydney Metro Contract 15,School Opal,"31,033"
7/1/16,Sydney Metro Contract 15,Gold Opal,"55,835"
7/1/16,Outer Sydney Metro Contract 1,Adult,"3,321"
7/1/16,Outer Sydney Metro Contract 1,Child/Youth,"1,202"
7/1/16,Outer Sydney Metro Contract 1,Concession,"3,995"
7/1/16,Outer Sydney Metro Contract 1,Free Opal,164
7/1/16,Outer Sydney Metro Contract 1,School Opal,"15,491"
7/1/16,Outer Sydney Metro Contract 1,Gold Opal,"6,197"
7/1/16,Outer Sydney Metro Contract 2,Adult,"13,604"
7/1/16,Outer Sydney Metro Contract 2,Child/Youth,"4,639"
7/1/16,Outer Sydney Metro Contract 2,Concession,"14,488"
7/1/16,Outer Sydney Metro Contract 2,Free Opal,397
7/1/16,Outer Sydney Metro Contract 2,School Opal,"68,344"
7/1/16,Outer Sydney Metro Contract 2,Gold Opal,"26,395"
7/1/16,Outer Sydney Metro Contract 3,Adult,"7,243"
7/1/16,Outer Sydney Metro Contract 3,Child/Youth,994
7/1/16,Outer Sydney Metro Contract 3,Concession,"5,628"
7/1/16,Outer Sydney Metro Contract 3,Free Opal,129
7/1/16,Outer Sydney Metro Contract 3,School Opal,"11,464"
7/1/16,Outer Sydney Metro Contract 3,Gold Opal,"7,850"
7/1/16,Outer Sydney Metro Contract 4,Adult,"14,356"
7/1/16,Outer Sydney Metro Contract 4,Child/Youth,"3,347"
7/1/16,Outer Sydney Metro Contract 4,Concession,"13,257"
7/1/16,Outer Sydney Metro Contract 4,Other,1
7/1/16,Outer Sydney Metro Contract 4,Free Opal,122
7/1/16,Outer Sydney Metro Contract 4,School Opal,"13,590"
7/1/16,Outer Sydney Metro Contract 4,Gold Opal,"24,258"
7/1/16,Outer Sydney Metro Contract 5,Adult,"102,580"
7/1/16,Outer Sydney Metro Contract 5,Child/Youth,"15,832"
7/1/16,Outer Sydney Metro Contract 5,Concession,"66,940"
7/1/16,Outer Sydney Metro Contract 5,Other,"3,156"
7/1/16,Outer Sydney Metro Contract 5,Free Opal,957
7/1/16,Outer Sydney Metro Contract 5,School Opal,"45,224"
7/1/16,Outer Sydney Metro Contract 5,Gold Opal,"124,570"
7/1/16,Outer Sydney Metro Contract 6,Adult,"92,105"
7/1/16,Outer Sydney Metro Contract 6,Child/Youth,"18,453"
7/1/16,Outer Sydney Metro Contract 6,Concession,"45,740"
7/1/16,Outer Sydney Metro Contract 6,Free Opal,"1,279"
7/1/16,Outer Sydney Metro Contract 6,School Opal,"44,997"
7/1/16,Outer Sydney Metro Contract 6,Gold Opal,"114,901"
7/1/16,Outer Sydney Metro Contract 7,Adult,"40,425"
7/1/16,Outer Sydney Metro Contract 7,Child/Youth,"9,970"
7/1/16,Outer Sydney Metro Contract 7,Concession,"25,285"
7/1/16,Outer Sydney Metro Contract 7,Free Opal,626
7/1/16,Outer Sydney Metro Contract 7,School Opal,"47,535"
7/1/16,Outer Sydney Metro Contract 7,Gold Opal,"53,142"
7/1/16,Outer Sydney Metro Contract 8,Adult,"31,266"
7/1/16,Outer Sydney Metro Contract 8,Child/Youth,"6,202"
7/1/16,Outer Sydney Metro Contract 8,Concession,"4,706"
7/1/16,Outer Sydney Metro Contract 8,Free Opal,93
7/1/16,Outer Sydney Metro Contract 8,School Opal,"34,602"
7/1/16,Outer Sydney Metro Contract 8,Gold Opal,"15,507"
7/1/16,Outer Sydney Metro Contract 9,Adult,"6,314"
7/1/16,Outer Sydney Metro Contract 9,Child/Youth,"1,053"
7/1/16,Outer Sydney Metro Contract 9,Concession,"1,046"
7/1/16,Outer Sydney Metro Contract 9,Free Opal,31
7/1/16,Outer Sydney Metro Contract 9,School Opal,"11,578"
7/1/16,Outer Sydney Metro Contract 9,Gold Opal,"3,547"
7/1/16,Outer Sydney Metro Contract 10,Adult,"51,884"
7/1/16,Outer Sydney Metro Contract 10,Child/Youth,"14,668"
7/1/16,Outer Sydney Metro Contract 10,Concession,"46,653"
7/1/16,Outer Sydney Metro Contract 10,Free Opal,835
7/1/16,Outer Sydney Metro Contract 10,School Opal,"96,126"
7/1/16,Outer Sydney Metro Contract 10,Gold Opal,"90,518"
7/1/16,Outer Sydney Metro Contract 11,Adult,717
7/1/16,Outer Sydney Metro Contract 11,Child/Youth,244
7/1/16,Outer Sydney Metro Contract 11,Concession,503
7/1/16,Outer Sydney Metro Contract 11,Free Opal,11
7/1/16,Outer Sydney Metro Contract 11,School Opal,"3,434"
7/1/16,Outer Sydney Metro Contract 11,Gold Opal,860
7/1/16,Outer Sydney Metro Contract 12,Adult,"12,455"
7/1/16,Outer Sydney Metro Contract 12,Child/Youth,"2,863"
7/1/16,Outer Sydney Metro Contract 12,Concession,"5,697"
7/1/16,Outer Sydney Metro Contract 12,Free Opal,171
7/1/16,Outer Sydney Metro Contract 12,School Opal,"10,338"
7/1/16,Outer Sydney Metro Contract 12,Gold Opal,"18,338"
7/1/16,Night Ride 10,Adult,"7,737"
7/1/16,Night Ride 10,Child/Youth,71
7/1/16,Night Ride 10,Concession,604
7/1/16,Night Ride 10,Free Opal,7
7/1/16,Night Ride 10,Gold Opal,292
7/1/16,Night Ride 11,Adult,"5,340"
7/1/16,Night Ride 11,Child/Youth,60
7/1/16,Night Ride 11,Concession,319
7/1/16,Night Ride 11,Free Opal,1
7/1/16,Night Ride 11,Gold Opal,334
7/1/16,Night Ride 20,Adult,502
7/1/16,Night Ride 20,Child/Youth,5
7/1/16,Night Ride 20,Concession,71
7/1/16,Night Ride 20,Gold Opal,42
7/1/16,Night Ride 30,Adult,"4,960"
7/1/16,Night Ride 30,Child/Youth,102
7/1/16,Night Ride 30,Concession,639
7/1/16,Night Ride 30,Free Opal,21
7/1/16,Night Ride 30,Gold Opal,634
7/1/16,Night Ride 40,Adult,"5,976"
7/1/16,Night Ride 40,Child/Youth,84
7/1/16,Night Ride 40,Concession,462
7/1/16,Night Ride 40,Gold Opal,579
7/1/16,Night Ride 50,Adult,"6,556"
7/1/16,Night Ride 50,Child/Youth,80
7/1/16,Night Ride 50,Concession,460
7/1/16,Night Ride 50,Gold Opal,633
7/1/16,Night Ride 60,Adult,"11,446"
7/1/16,Night Ride 60,Child/Youth,89
7/1/16,Night Ride 60,Concession,511
7/1/16,Night Ride 60,Free Opal,3
7/1/16,Night Ride 60,Gold Opal,977
7/1/16,Night Ride 61,Adult,"1,313"
7/1/16,Night Ride 61,Child/Youth,13
7/1/16,Night Ride 61,Concession,168
7/1/16,Night Ride 61,Gold Opal,100
7/1/16,Night Ride 70,Adult,"5,560"
7/1/16,Night Ride 70,Child/Youth,55
7/1/16,Night Ride 70,Concession,546
7/1/16,Night Ride 70,Gold Opal,611
7/1/16,Night Ride 71,Adult,"1,863"
7/1/16,Night Ride 71,Child/Youth,38
7/1/16,Night Ride 71,Concession,301
7/1/16,Night Ride 71,Gold Opal,185
7/1/16,Night Ride 80,Adult,"3,652"
7/1/16,Night Ride 80,Child/Youth,98
7/1/16,Night Ride 80,Concession,509
7/1/16,Night Ride 80,Gold Opal,289
7/1/16,Night Ride 90,Adult,"4,997"
7/1/16,Night Ride 90,Child/Youth,135
7/1/16,Night Ride 90,Concession,"1,004"
7/1/16,Night Ride 90,Gold Opal,228
7/1/16,Night Ride 100,Adult,618
7/1/16,Night Ride 100,Child/Youth,14
7/1/16,Night Ride 100,Concession,57
7/1/16,Night Ride 100,Gold Opal,29
8/1/16,Sydney Metro Contract 1,Adult,"386,386"
8/1/16,Sydney Metro Contract 1,Adult,"25,753"
8/1/16,Sydney Metro Contract 1,Adult,"17,882"
8/1/16,Sydney Metro Contract 1,Adult,"1,880"
8/1/16,Sydney Metro Contract 1,Child/Youth,"67,010"
8/1/16,Sydney Metro Contract 1,Opal Single Ticket,"14,002"
8/1/16,Sydney Metro Contract 1,Opal Single Ticket,"10,189"
8/1/16,Sydney Metro Contract 1,Opal Single Ticket,907
8/1/16,Sydney Metro Contract 1,Concession,"73,590"
8/1/16,Sydney Metro Contract 1,Free Opal,"1,281"
8/1/16,Sydney Metro Contract 1,School Opal,"296,261"
8/1/16,Sydney Metro Contract 1,Gold Opal,"224,668"
8/1/16,Sydney Metro Contract 2,Adult,"98,930"
8/1/16,Sydney Metro Contract 2,Adult,"7,531"
8/1/16,Sydney Metro Contract 2,Adult,"5,322"
8/1/16,Sydney Metro Contract 2,Adult,798
8/1/16,Sydney Metro Contract 2,Child/Youth,"18,145"
8/1/16,Sydney Metro Contract 2,Opal Single Ticket,"2,745"
8/1/16,Sydney Metro Contract 2,Opal Single Ticket,"1,706"
8/1/16,Sydney Metro Contract 2,Opal Single Ticket,243
8/1/16,Sydney Metro Contract 2,Concession,"23,745"
8/1/16,Sydney Metro Contract 2,Free Opal,850
8/1/16,Sydney Metro Contract 2,School Opal,"83,258"
8/1/16,Sydney Metro Contract 2,Gold Opal,"93,181"
8/1/16,Sydney Metro Contract 3,Adult,"362,876"
8/1/16,Sydney Metro Contract 3,Adult,"26,474"
8/1/16,Sydney Metro Contract 3,Adult,"21,037"
8/1/16,Sydney Metro Contract 3,Adult,"3,132"
8/1/16,Sydney Metro Contract 3,Child/Youth,"60,182"
8/1/16,Sydney Metro Contract 3,Opal Single Ticket,"14,039"
8/1/16,Sydney Metro Contract 3,Opal Single Ticket,"8,986"
8/1/16,Sydney Metro Contract 3,Opal Single Ticket,663
8/1/16,Sydney Metro Contract 3,Concession,"94,549"
8/1/16,Sydney Metro Contract 3,Free Opal,"1,693"
8/1/16,Sydney Metro Contract 3,School Opal,"168,615"
8/1/16,Sydney Metro Contract 3,Gold Opal,"274,479"
8/1/16,Sydney Metro Contract 4,Adult,"1,184,057"
8/1/16,Sydney Metro Contract 4,Adult,"9,488"
8/1/16,Sydney Metro Contract 4,Adult,"6,053"
8/1/16,Sydney Metro Contract 4,Adult,"17,279"
8/1/16,Sydney Metro Contract 4,Child/Youth,"88,354"
8/1/16,Sydney Metro Contract 4,Opal Single Ticket,"6,589"
8/1/16,Sydney Metro Contract 4,Opal Single Ticket,"3,231"
8/1/16,Sydney Metro Contract 4,Opal Single Ticket,"5,248"
8/1/16,Sydney Metro Contract 4,Concession,"199,464"
8/1/16,Sydney Metro Contract 4,Free Opal,"1,950"
8/1/16,Sydney Metro Contract 4,School Opal,"246,098"
8/1/16,Sydney Metro Contract 4,Gold Opal,"202,488"
8/1/16,Sydney Metro Contract 5,Adult,"105,057"
8/1/16,Sydney Metro Contract 5,Adult,"6,316"
8/1/16,Sydney Metro Contract 5,Adult,"1,994"
8/1/16,Sydney Metro Contract 5,Adult,76
8/1/16,Sydney Metro Contract 5,Child/Youth,"15,396"
8/1/16,Sydney Metro Contract 5,Opal Single Ticket,"2,366"
8/1/16,Sydney Metro Contract 5,Opal Single Ticket,790
8/1/16,Sydney Metro Contract 5,Opal Single Ticket,20
8/1/16,Sydney Metro Contract 5,Concession,"17,118"
8/1/16,Sydney Metro Contract 5,Free Opal,562
8/1/16,Sydney Metro Contract 5,School Opal,"43,686"
8/1/16,Sydney Metro Contract 5,Gold Opal,"109,677"
8/1/16,Sydney Metro Contract 6,Adult,"2,615,554"
8/1/16,Sydney Metro Contract 6,Adult,"16,742"
8/1/16,Sydney Metro Contract 6,Adult,"6,727"
8/1/16,Sydney Metro Contract 6,Adult,659
8/1/16,Sydney Metro Contract 6,Child/Youth,"113,017"
8/1/16,Sydney Metro Contract 6,Opal Single Ticket,"4,596"
8/1/16,Sydney Metro Contract 6,Opal Single Ticket,"1,800"
8/1/16,Sydney Metro Contract 6,Opal Single Ticket,164
8/1/16,Sydney Metro Contract 6,Concession,"405,639"
8/1/16,Sydney Metro Contract 6,Other,"22,013"
8/1/16,Sydney Metro Contract 6,Free Opal,"4,137"
8/1/16,Sydney Metro Contract 6,School Opal,"121,139"
8/1/16,Sydney Metro Contract 6,Gold Opal,"663,161"
8/1/16,Sydney Metro Contract 7,Adult,"1,765,221"
8/1/16,Sydney Metro Contract 7,Adult,"7,796"
8/1/16,Sydney Metro Contract 7,Adult,"5,332"
8/1/16,Sydney Metro Contract 7,Adult,"2,433"
8/1/16,Sydney Metro Contract 7,Child/Youth,"109,290"
8/1/16,Sydney Metro Contract 7,Opal Single Ticket,"2,580"
8/1/16,Sydney Metro Contract 7,Opal Single Ticket,"1,712"
8/1/16,Sydney Metro Contract 7,Opal Single Ticket,439
8/1/16,Sydney Metro Contract 7,Concession,"196,428"
8/1/16,Sydney Metro Contract 7,Other,"10,956"
8/1/16,Sydney Metro Contract 7,Free Opal,"2,910"
8/1/16,Sydney Metro Contract 7,School Opal,"206,633"
8/1/16,Sydney Metro Contract 7,Gold Opal,"371,269"
8/1/16,Sydney Metro Contract 8,Adult,"1,481,277"
8/1/16,Sydney Metro Contract 8,Adult,"16,915"
8/1/16,Sydney Metro Contract 8,Adult,"12,476"
8/1/16,Sydney Metro Contract 8,Adult,"9,117"
8/1/16,Sydney Metro Contract 8,Child/Youth,"116,247"
8/1/16,Sydney Metro Contract 8,Opal Single Ticket,"4,804"
8/1/16,Sydney Metro Contract 8,Opal Single Ticket,"3,614"
8/1/16,Sydney Metro Contract 8,Opal Single Ticket,"1,497"
8/1/16,Sydney Metro Contract 8,Concession,"113,289"
8/1/16,Sydney Metro Contract 8,Other,"11,720"
8/1/16,Sydney Metro Contract 8,Free Opal,"3,289"
8/1/16,Sydney Metro Contract 8,School Opal,"210,146"
8/1/16,Sydney Metro Contract 8,Gold Opal,"270,937"
8/1/16,Sydney Metro Contract 9,Adult,"4,713,740"
8/1/16,Sydney Metro Contract 9,Adult,"21,263"
8/1/16,Sydney Metro Contract 9,Adult,"15,272"
8/1/16,Sydney Metro Contract 9,Adult,"1,757"
8/1/16,Sydney Metro Contract 9,Child/Youth,"162,861"
8/1/16,Sydney Metro Contract 9,Opal Single Ticket,"4,605"
8/1/16,Sydney Metro Contract 9,Opal Single Ticket,"2,234"
8/1/16,Sydney Metro Contract 9,Opal Single Ticket,185
8/1/16,Sydney Metro Contract 9,Concession,"742,957"
8/1/16,Sydney Metro Contract 9,Other,"25,072"
8/1/16,Sydney Metro Contract 9,Free Opal,"6,214"
8/1/16,Sydney Metro Contract 9,School Opal,"117,948"
8/1/16,Sydney Metro Contract 9,Gold Opal,"850,777"
8/1/16,Sydney Metro Contract 10,Adult,"250,395"
8/1/16,Sydney Metro Contract 10,Adult,"8,886"
8/1/16,Sydney Metro Contract 10,Adult,"3,584"
8/1/16,Sydney Metro Contract 10,Adult,552
8/1/16,Sydney Metro Contract 10,Child/Youth,"50,143"
8/1/16,Sydney Metro Contract 10,Opal Single Ticket,"4,513"
8/1/16,Sydney Metro Contract 10,Opal Single Ticket,"1,564"
8/1/16,Sydney Metro Contract 10,Opal Single Ticket,194
8/1/16,Sydney Metro Contract 10,Concession,"51,901"
8/1/16,Sydney Metro Contract 10,Free Opal,"1,098"
8/1/16,Sydney Metro Contract 10,School Opal,"220,189"
8/1/16,Sydney Metro Contract 10,Gold Opal,"153,533"
8/1/16,Sydney Metro Contract 12,Adult,"94,998"
8/1/16,Sydney Metro Contract 12,Adult,"1,579"
8/1/16,Sydney Metro Contract 12,Adult,585
8/1/16,Sydney Metro Contract 12,Adult,45
8/1/16,Sydney Metro Contract 12,Child/Youth,"35,205"
8/1/16,Sydney Metro Contract 12,Opal Single Ticket,744
8/1/16,Sydney Metro Contract 12,Opal Single Ticket,339
8/1/16,Sydney Metro Contract 12,Opal Single Ticket,12
8/1/16,Sydney Metro Contract 12,Concession,"17,429"
8/1/16,Sydney Metro Contract 12,Free Opal,297
8/1/16,Sydney Metro Contract 12,School Opal,"152,396"
8/1/16,Sydney Metro Contract 12,Gold Opal,"36,664"
8/1/16,Sydney Metro Contract 13,Adult,"279,834"
8/1/16,Sydney Metro Contract 13,Adult,"14,726"
8/1/16,Sydney Metro Contract 13,Adult,"7,782"
8/1/16,Sydney Metro Contract 13,Adult,"1,002"
8/1/16,Sydney Metro Contract 13,Child/Youth,"42,795"
8/1/16,Sydney Metro Contract 13,Opal Single Ticket,"5,513"
8/1/16,Sydney Metro Contract 13,Opal Single Ticket,"2,753"
8/1/16,Sydney Metro Contract 13,Opal Single Ticket,289
8/1/16,Sydney Metro Contract 13,Concession,"62,938"
8/1/16,Sydney Metro Contract 13,Free Opal,880
8/1/16,Sydney Metro Contract 13,School Opal,"136,851"
8/1/16,Sydney Metro Contract 13,Gold Opal,"201,421"
8/1/16,Sydney Metro Contract 14,Adult,"226,151"
8/1/16,Sydney Metro Contract 14,Adult,"1,269"
8/1/16,Sydney Metro Contract 14,Adult,"1,329"
8/1/16,Sydney Metro Contract 14,Adult,"1,797"
8/1/16,Sydney Metro Contract 14,Child/Youth,"36,568"
8/1/16,Sydney Metro Contract 14,Opal Single Ticket,828
8/1/16,Sydney Metro Contract 14,Opal Single Ticket,880
8/1/16,Sydney Metro Contract 14,Opal Single Ticket,725
8/1/16,Sydney Metro Contract 14,Concession,"30,863"
8/1/16,Sydney Metro Contract 14,Free Opal,315
8/1/16,Sydney Metro Contract 14,School Opal,"84,434"
8/1/16,Sydney Metro Contract 14,Gold Opal,"47,754"
8/1/16,Sydney Metro Contract 15,Adult,"76,414"
8/1/16,Sydney Metro Contract 15,Adult,"10,013"
8/1/16,Sydney Metro Contract 15,Adult,"5,564"
8/1/16,Sydney Metro Contract 15,Adult,901
8/1/16,Sydney Metro Contract 15,Child/Youth,"19,654"
8/1/16,Sydney Metro Contract 15,Opal Single Ticket,"4,310"
8/1/16,Sydney Metro Contract 15,Opal Single Ticket,"2,031"
8/1/16,Sydney Metro Contract 15,Opal Single Ticket,306
8/1/16,Sydney Metro Contract 15,Concession,"24,623"
8/1/16,Sydney Metro Contract 15,Free Opal,851
8/1/16,Sydney Metro Contract 15,School Opal,"75,284"
8/1/16,Sydney Metro Contract 15,Gold Opal,"63,588"
8/1/16,Outer Sydney Metro Contract 1,Adult,"2,632"
8/1/16,Outer Sydney Metro Contract 1,Adult,347
8/1/16,Outer Sydney Metro Contract 1,Adult,324
8/1/16,Outer Sydney Metro Contract 1,Adult,"1,453"
8/1/16,Outer Sydney Metro Contract 1,Child/Youth,"1,799"
8/1/16,Outer Sydney Metro Contract 1,Opal Single Ticket,233
8/1/16,Outer Sydney Metro Contract 1,Opal Single Ticket,76
8/1/16,Outer Sydney Metro Contract 1,Opal Single Ticket,456
8/1/16,Outer Sydney Metro Contract 1,Concession,"1,385"
8/1/16,Outer Sydney Metro Contract 1,Free Opal,136
8/1/16,Outer Sydney Metro Contract 1,School Opal,"36,770"
8/1/16,Outer Sydney Metro Contract 1,Gold Opal,"7,082"
8/1/16,Outer Sydney Metro Contract 2,Adult,"11,461"
8/1/16,Outer Sydney Metro Contract 2,Adult,"2,809"
8/1/16,Outer Sydney Metro Contract 2,Adult,"1,919"
8/1/16,Outer Sydney Metro Contract 2,Adult,"2,009"
8/1/16,Outer Sydney Metro Contract 2,Child/Youth,"7,487"
8/1/16,Outer Sydney Metro Contract 2,Opal Single Ticket,719
8/1/16,Outer Sydney Metro Contract 2,Opal Single Ticket,426
8/1/16,Outer Sydney Metro Contract 2,Opal Single Ticket,495
8/1/16,Outer Sydney Metro Contract 2,Concession,"4,112"
8/1/16,Outer Sydney Metro Contract 2,Free Opal,482
8/1/16,Outer Sydney Metro Contract 2,School Opal,"175,183"
8/1/16,Outer Sydney Metro Contract 2,Gold Opal,"29,523"
8/1/16,Outer Sydney Metro Contract 3,Adult,"4,471"
8/1/16,Outer Sydney Metro Contract 3,Adult,877
8/1/16,Outer Sydney Metro Contract 3,Adult,"1,419"
8/1/16,Outer Sydney Metro Contract 3,Adult,"1,721"
8/1/16,Outer Sydney Metro Contract 3,Child/Youth,"1,341"
8/1/16,Outer Sydney Metro Contract 3,Opal Single Ticket,135
8/1/16,Outer Sydney Metro Contract 3,Opal Single Ticket,586
8/1/16,Outer Sydney Metro Contract 3,Opal Single Ticket,286
8/1/16,Outer Sydney Metro Contract 3,Concession,"1,394"
8/1/16,Outer Sydney Metro Contract 3,Free Opal,98
8/1/16,Outer Sydney Metro Contract 3,School Opal,"25,163"
8/1/16,Outer Sydney Metro Contract 3,Gold Opal,"8,825"
8/1/16,Outer Sydney Metro Contract 4,Adult,"15,736"
8/1/16,Outer Sydney Metro Contract 4,Adult,"1,870"
8/1/16,Outer Sydney Metro Contract 4,Adult,"1,957"
8/1/16,Outer Sydney Metro Contract 4,Adult,428
8/1/16,Outer Sydney Metro Contract 4,Child/Youth,"4,315"
8/1/16,Outer Sydney Metro Contract 4,Opal Single Ticket,334
8/1/16,Outer Sydney Metro Contract 4,Opal Single Ticket,516
8/1/16,Outer Sydney Metro Contract 4,Opal Single Ticket,126
8/1/16,Outer Sydney Metro Contract 4,Concession,"6,316"
8/1/16,Outer Sydney Metro Contract 4,Free Opal,172
8/1/16,Outer Sydney Metro Contract 4,School Opal,"55,277"
8/1/16,Outer Sydney Metro Contract 4,Gold Opal,"27,222"
8/1/16,Outer Sydney Metro Contract 5,Adult,"113,219"
8/1/16,Outer Sydney Metro Contract 5,Adult,"9,273"
8/1/16,Outer Sydney Metro Contract 5,Adult,"12,613"
8/1/16,Outer Sydney Metro Contract 5,Adult,"3,491"
8/1/16,Outer Sydney Metro Contract 5,Child/Youth,"19,385"
8/1/16,Outer Sydney Metro Contract 5,Opal Single Ticket,"1,307"
8/1/16,Outer Sydney Metro Contract 5,Opal Single Ticket,"2,442"
8/1/16,Outer Sydney Metro Contract 5,Opal Single Ticket,667
8/1/16,Outer Sydney Metro Contract 5,Concession,"41,108"
8/1/16,Outer Sydney Metro Contract 5,Other,"3,334"
8/1/16,Outer Sydney Metro Contract 5,Free Opal,"1,162"
8/1/16,Outer Sydney Metro Contract 5,School Opal,"110,239"
8/1/16,Outer Sydney Metro Contract 5,Gold Opal,"139,526"
8/1/16,Outer Sydney Metro Contract 6,Adult,"80,237"
8/1/16,Outer Sydney Metro Contract 6,Adult,"7,410"
8/1/16,Outer Sydney Metro Contract 6,Adult,"6,588"
8/1/16,Outer Sydney Metro Contract 6,Adult,"1,893"
8/1/16,Outer Sydney Metro Contract 6,Child/Youth,"17,365"
8/1/16,Outer Sydney Metro Contract 6,Opal Single Ticket,"2,128"
8/1/16,Outer Sydney Metro Contract 6,Opal Single Ticket,"2,487"
8/1/16,Outer Sydney Metro Contract 6,Opal Single Ticket,781
8/1/16,Outer Sydney Metro Contract 6,Concession,"16,666"
8/1/16,Outer Sydney Metro Contract 6,Other,1
