Year_Month,Card Type,Travel_Mode,Trip
Oct-16,Child/Youth Single Bus Trip 3,Bus,"13,664"
Oct-16,Concession,Train,"2,065,326"
Oct-16,Concession,Bus,"1,722,565"
Oct-16,Concession,Light Rail,"26,874"
Oct-16,Concession,Ferry,"24,094"
Oct-16,Employee,Train,"289,301"
Oct-16,Employee,Bus,"71,428"
Oct-16,Employee,Light Rail,1
Oct-16,Employee,Ferry,"5,435"
Oct-16,Free Travel,Train,"30,205"
Oct-16,Free Travel,Bus,"33,031"
Oct-16,Free Travel,Light Rail,899
Oct-16,Free Travel,Ferry,"2,081"
Oct-16,School Student,Train,"759,479"
Oct-16,School Student,Bus,"2,115,831"
Oct-16,School Student,Light Rail,"4,304"
Oct-16,School Student,Ferry,"1,594"
Oct-16,Senior/Pensioner,Train,"2,859,632"
Oct-16,Senior/Pensioner,Bus,"4,095,695"
Oct-16,Senior/Pensioner,Light Rail,"147,173"
Oct-16,Senior/Pensioner,Ferry,"187,265"
Oct-16,Sgl Trip Ferry Adult,Ferry,"52,692"
Oct-16,Sgl Trip Ferry Child/Youth,Ferry,"9,442"
Oct-16,Sgl Trip LR Adult,Light Rail,"2,916"
Oct-16,Sgl Trip LR Child/Youth,Light Rail,715
Oct-16,Sgl Trip Rail Adult,Train,"311,836"
Oct-16,Sgl Trip Rail Child/Youth,Train,"62,233"
Nov-16,Adult,Train,"23,867,512"
Nov-16,Adult,Bus,"14,203,977"
Nov-16,Adult,Light Rail,"511,961"
Nov-16,Adult,Ferry,"929,645"
Nov-16,Adult Single Bus Trip 1,Bus,"190,359"
Nov-16,Adult Single Bus Trip 2,Bus,"122,653"
Nov-16,Adult Single Bus Trip 3,Bus,"48,268"
Nov-16,Child/Youth,Train,"1,036,526"
Nov-16,Child/Youth,Bus,"1,142,170"
Nov-16,Child/Youth,Light Rail,"28,564"
Nov-16,Child/Youth,Ferry,"76,663"
Nov-16,Child/Youth Single Bus Trip 1,Bus,"57,618"
Nov-16,Child/Youth Single Bus Trip 2,Bus,"33,400"
Nov-16,Child/Youth Single Bus Trip 3,Bus,"9,669"
Nov-16,Concession,Train,"1,707,681"
Nov-16,Concession,Bus,"1,391,898"
Nov-16,Concession,Light Rail,"25,699"
Nov-16,Concession,Ferry,"25,891"
Nov-16,Employee,Train,"318,627"
Nov-16,Employee,Bus,"76,755"
