Year_Month,Card Type,Travel_Mode,Trip
Nov-16,Child/Youth,Bus,1142170
Nov-16,Child/Youth,Light Rail,28564
Nov-16,Child/Youth,Ferry,76663
Nov-16,Opal Single Ticket,Bus,57618
Nov-16,Opal Single Ticket,Bus,33400
Nov-16,Opal Single Ticket,Bus,9669
Nov-16,Concession,Train,1707681
Nov-16,Concession,Bus,1391898
Nov-16,Concession,Light Rail,25699
Nov-16,Concession,Ferry,25891
Nov-16,Other,Train,318627
Nov-16,Other,Bus,76755
Nov-16,Other,Ferry,5914
Nov-16,Free Opal,Train,33096
Nov-16,Free Opal,Bus,36217
Nov-16,Free Opal,Light Rail,776
Nov-16,Free Opal,Ferry,2271
Nov-16,School Opal,Train,1013962
Nov-16,School Opal,Bus,2792634
Nov-16,School Opal,Light Rail,5599
Nov-16,School Opal,Ferry,2150
Nov-16,Gold Opal,Train,2969184
Nov-16,Gold Opal,Bus,4316765
Nov-16,Gold Opal,Light Rail,130118
Nov-16,Gold Opal,Ferry,195969
Nov-16,Opal Single Ticket,Ferry,57975
Nov-16,Opal Single Ticket,Ferry,6023
Nov-16,Opal Single Ticket,Light Rail,2204
Nov-16,Opal Single Ticket,Light Rail,344
Nov-16,Opal Single Ticket,Train,320085
Nov-16,Opal Single Ticket,Train,51606
Dec-16,Adult,Train,21532401
Dec-16,Adult,Bus,12839969
Dec-16,Adult,Light Rail,533991
Dec-16,Adult,Ferry,1050663
Dec-16,Adult,Bus,190339
Dec-16,Adult,Bus,124517
Dec-16,Adult,Bus,51178
Dec-16,Child/Youth,Train,1353758
Dec-16,Child/Youth,Bus,1311601
Dec-16,Child/Youth,Light Rail,39398
Dec-16,Child/Youth,Ferry,144692
Dec-16,Opal Single Ticket,Bus,65006
Dec-16,Opal Single Ticket,Bus,48328
Dec-16,Opal Single Ticket,Bus,15754
Dec-16,Concession,Train,1361789
Dec-16,Concession,Bus,1038399
Dec-16,Concession,Light Rail,24597
Dec-16,Concession,Ferry,27905
Dec-16,Other,Train,285847
Dec-16,Other,Bus,71339
Dec-16,Other,Ferry,5970
Dec-16,Free Opal,Train,29099
Dec-16,Free Opal,Bus,34095
Dec-16,Free Opal,Light Rail,752
Dec-16,Free Opal,Ferry,2219
Dec-16,School Opal,Train,404194
Dec-16,School Opal,Bus,1067910
Dec-16,School Opal,Light Rail,2109
Dec-16,School Opal,Ferry,796
Dec-16,Gold Opal,Train,2773808
Dec-16,Gold Opal,Bus,4022430
Dec-16,Gold Opal,Light Rail,122012
Dec-16,Gold Opal,Ferry,187261
Dec-16,Opal Single Ticket,Ferry,70707
Dec-16,Opal Single Ticket,Ferry,16773
Dec-16,Opal Single Ticket,Light Rail,2875
Dec-16,Opal Single Ticket,Light Rail,787
Dec-16,Opal Single Ticket,Train,362922
Dec-16,Opal Single Ticket,Train,85766
Jan-17,Adult,Train,20689527
Jan-17,Adult,Bus,12658936
Jan-17,Adult,Light Rail,313530
Jan-17,Adult,Ferry,1164945
Jan-17,Adult,Bus,182210
Jan-17,Adult,Bus,116130
Jan-17,Adult,Bus,46161
Jan-17,Child/Youth,Train,1485300
Jan-17,Child/Youth,Bus,1405219
Jan-17,Child/Youth,Light Rail,33524
Jan-17,Child/Youth,Ferry,217918
Jan-17,Opal Single Ticket,Bus,66323
Jan-17,Opal Single Ticket,Bus,53334
Jan-17,Opal Single Ticket,Bus,18050
Jan-17,Concession,Train,1255327
Jan-17,Concession,Bus,985862
Jan-17,Concession,Light Rail,14678
Jan-17,Concession,Ferry,28552
Jan-17,Other,Train,259349
Jan-17,Other,Bus,66458
Jan-17,Other,Ferry,5959
Jan-17,Free Opal,Train,26745
Jan-17,Free Opal,Bus,31281
Jan-17,Free Opal,Light Rail,394
Jan-17,Free Opal,Ferry,2234
Jan-17,School Opal,Train,67891
Jan-17,School Opal,Bus,168257
Jan-17,School Opal,Light Rail,323
Jan-17,School Opal,Ferry,139
Jan-17,Gold Opal,Train,2566223
Jan-17,Gold Opal,Bus,3752674
Jan-17,Gold Opal,Light Rail,63828
Jan-17,Gold Opal,Ferry,220534
Jan-17,Opal Single Ticket,Ferry,76631
Jan-17,Opal Single Ticket,Ferry,21171
Jan-17,Opal Single Ticket,Light Rail,1986
Jan-17,Opal Single Ticket,Light Rail,735
Jan-17,Opal Single Ticket,Train,299852
Jan-17,Opal Single Ticket,Train,85208
Feb-17,Adult,Train,21960594
Feb-17,Adult,Bus,13182869
Feb-17,Adult,Light Rail,545607
Feb-17,Adult,Ferry,865014
Feb-17,Adult,Bus,167293
Feb-17,Adult,Bus,104008
Feb-17,Adult,Bus,39559
Feb-17,Child/Youth,Train,977309
Feb-17,Child/Youth,Bus,1166175
Feb-17,Child/Youth,Light Rail,32626
Feb-17,Child/Youth,Ferry,57121
Feb-17,Opal Single Ticket,Bus,39460
Feb-17,Opal Single Ticket,Bus,26163
Feb-17,Opal Single Ticket,Bus,7942
Feb-17,Concession,Train,1527275
Feb-17,Concession,Bus,1240006
Feb-17,Concession,Light Rail,28344
Feb-17,Concession,Ferry,23803
Feb-17,Other,Train,287362
Feb-17,Other,Bus,69228
Feb-17,Other,Ferry,4826
Feb-17,Free Opal,Train,30092
Feb-17,Free Opal,Bus,33326
Feb-17,Free Opal,Light Rail,697
Feb-17,Free Opal,Ferry,1897
Feb-17,School Opal,Train,1028738
Feb-17,School Opal,Bus,2600682
Feb-17,School Opal,Light Rail,6101
Feb-17,School Opal,Ferry,1914
Feb-17,Gold Opal,Train,2620981
Feb-17,Gold Opal,Bus,3857972
Feb-17,Gold Opal,Light Rail,124005
Feb-17,Gold Opal,Ferry,169864
Feb-17,Opal Single Ticket,Ferry,56176
Feb-17,Opal Single Ticket,Ferry,5700
Feb-17,Opal Single Ticket,Light Rail,2500
Feb-17,Opal Single Ticket,Light Rail,428
Feb-17,Opal Single Ticket,Train,288914
Feb-17,Opal Single Ticket,Train,45771
Mar-17,Adult,Train,25670277
Mar-17,Adult,Bus,15239178
Mar-17,Adult,Light Rail,639505
Mar-17,Adult,Ferry,882559
Mar-17,Adult,Bus,177223
Mar-17,Adult,Bus,109926
Mar-17,Adult,Bus,42288
Mar-17,Child/Youth,Train,1061092
Mar-17,Child/Youth,Bus,1229286
Mar-17,Child/Youth,Light Rail,35233
Mar-17,Child/Youth,Ferry,63608
Mar-17,Opal Single Ticket,Bus,43347
Mar-17,Opal Single Ticket,Bus,26923
Mar-17,Opal Single Ticket,Bus,8514
Mar-17,Concession,Train,2874972
Mar-17,Concession,Bus,2375998
Mar-17,Concession,Light Rail,36897
Mar-17,Concession,Ferry,29447
Mar-17,Other,Train,331728
Mar-17,Other,Bus,78376
